%Time(s),x
0.00000000e+00,1.01005017e-02
1.00000000e-02,1.02020134e-02
2.00000000e-02,1.03045453e-02
3.00000000e-02,1.04081077e-02
4.00000000e-02,1.05127110e-02
5.00000000e-02,1.06183655e-02
6.00000000e-02,1.07250818e-02
7.00000000e-02,1.08328707e-02
8.00000000e-02,1.09417428e-02
9.00000000e-02,1.10517092e-02
1.00000000e-01,1.11627807e-02
1.10000000e-01,1.12749685e-02
1.20000000e-01,1.13882838e-02
1.30000000e-01,1.15027380e-02
1.40000000e-01,1.16183424e-02
1.50000000e-01,1.17351087e-02
1.60000000e-01,1.18530485e-02
1.70000000e-01,1.19721736e-02
1.80000000e-01,1.20924960e-02
1.90000000e-01,1.22140276e-02
2.00000000e-01,1.23367806e-02
2.10000000e-01,1.24607673e-02
2.20000000e-01,1.25860001e-02
2.30000000e-01,1.27124915e-02
2.40000000e-01,1.28402542e-02
2.50000000e-01,1.29693009e-02
2.60000000e-01,1.30996445e-02
2.70000000e-01,1.32312981e-02
2.80000000e-01,1.33642749e-02
2.90000000e-01,1.34985881e-02
3.00000000e-01,1.36342511e-02
3.10000000e-01,1.37712776e-02
3.20000000e-01,1.39096813e-02
3.30000000e-01,1.40494759e-02
3.40000000e-01,1.41906755e-02
3.50000000e-01,1.43332941e-02
3.60000000e-01,1.44773461e-02
3.70000000e-01,1.46228459e-02
3.80000000e-01,1.47698079e-02
3.90000000e-01,1.49182470e-02
4.00000000e-01,1.50681779e-02
4.10000000e-01,1.52196156e-02
4.20000000e-01,1.53725752e-02
4.30000000e-01,1.55270722e-02
4.40000000e-01,1.56831219e-02
4.50000000e-01,1.58407398e-02
4.60000000e-01,1.59999419e-02
4.70000000e-01,1.61607440e-02
4.80000000e-01,1.63231622e-02
4.90000000e-01,1.64872127e-02
5.00000000e-01,1.66529119e-02
5.10000000e-01,1.68202765e-02
5.20000000e-01,1.69893231e-02
5.30000000e-01,1.71600686e-02
5.40000000e-01,1.73325302e-02
5.50000000e-01,1.75067250e-02
5.60000000e-01,1.76826705e-02
5.70000000e-01,1.78603843e-02
5.80000000e-01,1.80398842e-02
5.90000000e-01,1.82211880e-02
6.00000000e-01,1.84043140e-02
6.10000000e-01,1.85892804e-02
6.20000000e-01,1.87761058e-02
6.30000000e-01,1.89648088e-02
6.40000000e-01,1.91554083e-02
6.50000000e-01,1.93479233e-02
6.60000000e-01,1.95423732e-02
6.70000000e-01,1.97387773e-02
6.80000000e-01,1.99371553e-02
6.90000000e-01,2.01375271e-02
7.00000000e-01,2.03399126e-02
7.10000000e-01,2.05443321e-02
7.20000000e-01,2.07508061e-02
7.30000000e-01,2.09593551e-02
7.40000000e-01,2.11700002e-02
7.50000000e-01,2.13827622e-02
7.60000000e-01,2.15976625e-02
7.70000000e-01,2.18147227e-02
7.80000000e-01,2.20339643e-02
7.90000000e-01,2.22554093e-02
8.00000000e-01,2.24790799e-02
8.10000000e-01,2.27049984e-02
8.20000000e-01,2.29331874e-02
8.30000000e-01,2.31636698e-02
8.40000000e-01,2.33964685e-02
8.50000000e-01,2.36316069e-02
8.60000000e-01,2.38691085e-02
8.70000000e-01,2.41089971e-02
8.80000000e-01,2.43512965e-02
8.90000000e-01,2.45960311e-02
9.00000000e-01,2.48432253e-02
9.10000000e-01,2.50929039e-02
9.20000000e-01,2.53450918e-02
9.30000000e-01,2.55998142e-02
9.40000000e-01,2.58570966e-02
9.50000000e-01,2.61169647e-02
9.60000000e-01,2.63794446e-02
9.70000000e-01,2.66445624e-02
9.80000000e-01,2.69123447e-02
9.90000000e-01,2.71828183e-02
1.00000000e+00,2.74560101e-02
1.01000000e+00,2.77319476e-02
1.02000000e+00,2.80106583e-02
1.03000000e+00,2.82921701e-02
1.04000000e+00,2.85765112e-02
1.05000000e+00,2.88637099e-02
1.06000000e+00,2.91537950e-02
1.07000000e+00,2.94467955e-02
1.08000000e+00,2.97427407e-02
1.09000000e+00,3.00416602e-02
1.10000000e+00,3.03435839e-02
1.11000000e+00,3.06485420e-02
1.12000000e+00,3.09565650e-02
1.13000000e+00,3.12676836e-02
1.14000000e+00,3.15819291e-02
1.15000000e+00,3.18993328e-02
1.16000000e+00,3.22199264e-02
1.17000000e+00,3.25437420e-02
1.18000000e+00,3.28708121e-02
1.19000000e+00,3.32011692e-02
1.20000000e+00,3.35348465e-02
1.21000000e+00,3.38718773e-02
1.22000000e+00,3.42122954e-02
1.23000000e+00,3.45561346e-02
1.24000000e+00,3.49034296e-02
1.25000000e+00,3.52542149e-02
1.26000000e+00,3.56085256e-02
